t_sec,error_m,nearest_idx,x_amcl,y_amcl
1.105,0.011574,0,25.332966,-10.929109
2.106,0.057801,1,25.266248,-10.923198
2.209,0.079856,1,25.208934,-10.915550
2.325,0.112003,3,25.095898,-10.898065
2.426,0.099774,4,24.950686,-10.870717
2.527,0.196710,5,24.768384,-10.836627
2.646,0.233601,6,24.699036,-10.823597
2.759,0.313081,13,24.211001,-10.747174
2.867,0.298465,15,23.919540,-10.705534
2.990,0.259534,21,23.471288,-10.645878
3.106,0.220041,25,23.083782,-10.605883
3.206,0.167695,29,22.643434,-10.552150
3.308,0.114468,35,22.037977,-10.496718
3.410,0.082177,40,21.539323,-10.463311
3.525,0.060715,46,20.999388,-10.438265
3.665,0.046346,47,20.845801,-10.427116
3.790,0.018501,58,19.768870,-10.367912
3.905,0.046871,65,19.066390,-10.339489
4.005,0.100931,70,18.601012,-10.291362
4.109,0.140334,75,18.097425,-10.249426
4.224,0.228537,79,17.664253,-10.157828
4.325,0.378219,84,17.203707,-10.009988
4.432,0.611421,88,16.735763,-9.775689
4.545,0.773696,98,16.436256,-9.536453
4.721,0.783121,99,16.360356,-9.447528
4.825,0.493898,114,15.883618,-8.738124
4.925,0.417159,116,15.806251,-8.441623
5.026,0.373208,119,15.764910,-8.175926
5.145,0.380294,122,15.771252,-7.918503
5.252,0.401051,124,15.792810,-7.704022
5.353,0.425887,130,15.864540,-7.412098
5.453,0.335751,133,15.955751,-7.195096
5.564,0.289945,134,16.042332,-7.042956
5.668,0.239376,136,16.086838,-6.967351
5.779,0.070173,142,16.415951,-6.463233
5.887,0.134033,145,16.610237,-6.184017
5.993,0.200940,150,16.879129,-5.816194
6.094,0.243722,154,17.113117,-5.527476
6.207,0.277899,158,17.373845,-5.216580
6.309,0.289691,159,17.470421,-5.098368
6.423,0.361762,165,17.836523,-4.630233
6.524,0.428746,170,18.123045,-4.250688
6.633,0.494872,173,18.300424,-3.978366
6.743,0.571976,184,18.590656,-3.333974
6.844,0.467687,189,18.724326,-2.941833
6.945,0.373185,193,18.821496,-2.581987
7.047,0.286505,197,18.908729,-2.180071
7.162,0.207420,201,18.985969,-1.760951
7.264,0.147892,206,19.051987,-1.284355
7.383,0.070534,212,19.123324,-0.620329
7.485,0.047042,217,19.173878,-0.092816
